,state,code,census_region,census_region_div,elec_total_kwh_min,elec_total_kwh_mean,elec_total_kwh_std,elec_total_kwh_max,fips
0,Alabama,AL,Southeast,East South Central,422.0223408,15645.62575,10093.17212,127753.4893,01
1,Alaska,AK,West Coast,Pacific,23.73875667,8565.961689,6453.789683,144894.9232,02
2,Arizona,AZ,West,Mountain South,416.4539905,12692.95287,8246.907091,83423.26622,04
3,Arkansas,AR,Southwest,West South Central,21.98033025,15475.98708,9155.750257,154590.0072,05
4,California,CA,West Coast,Pacific,23.73875667,8565.961689,6453.789683,144894.9232,06
5,Colorado,CO,West,Mountain South,416.4539905,12692.95287,8246.907091,83423.26622,08
6,Connecticut,CT,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,09
7,Delaware,DE,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,10
8,District of Columbia,DC,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,11
9,Florida,FL,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,12
10,Georgia,GA,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,13
11,Hawaii,HI,West Coast,Pacific,23.73875667,8565.961689,6453.789683,144894.9232,15
12,Idaho,ID,West ,Mountain North,416.4539905,9585.731684,8906.009313,180459.6836,16
13,Illinois,IL,Midwest,East North Central,416.4539905,9746.464217,8515.075127,186300.5901,17
14,Indiana,IN,Midwest,East North Central,416.4539905,9746.464217,8515.075127,186300.5901,18
15,Iowa,IA,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,19
16,Kansas,KS,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,20
17,Kentucky,KY,Southeast,East South Central,422.0223408,15645.62575,10093.17212,127753.4893,21
18,Louisiana,LA,Southwest,West South Central,21.98033025,15475.98708,9155.750257,154590.0072,22
19,Maine,ME,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,23
20,Maryland,MD,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,24
21,Massachusetts,MA,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,25
22,Michigan,MI,Midwest,East North Central,416.4539905,9746.464217,8515.075127,186300.5901,26
23,Minnesota,MN,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,27
24,Mississippi,MS,Southeast,East South Central,422.0223408,15645.62575,10093.17212,127753.4893,28
25,Missouri,MO,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,29
26,Montana,MT,West ,Mountain North,416.4539905,9585.731684,8906.009313,180459.6836,30
27,Nebraska,NE,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,31
28,Nevada,NV,West,Mountain South,416.4539905,12692.95287,8246.907091,83423.26622,32
29,New Hampshire,NH,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,33
30,New Jersey,NJ,Northeast,Middle Atlantic,63.30335112,8970.632557,7625.254608,148105.8098,34
31,New Mexico,NM,West,Mountain South,416.4539905,12692.95287,8246.907091,83423.26622,35
32,New York,NY,Northeast,Middle Atlantic,63.30335112,8970.632557,7625.254608,148105.8098,36
33,North Carolina,NC,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,37
34,North Dakota,ND,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,38
35,Ohio,OH,Midwest,East North Central,416.4539905,9746.464217,8515.075127,186300.5901,39
36,Oklahoma,OK,Southwest,West South Central,21.98033025,15475.98708,9155.750257,154590.0072,40
37,Oregon,OR,West Coast,Pacific,23.73875667,8565.961689,6453.789683,144894.9232,41
38,Pennsylvania,PA,Northeast,Middle Atlantic,63.30335112,8970.632557,7625.254608,148105.8098,42
39,Rhode Island,RI,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,44
40,South Carolina,SC,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,45
41,South Dakota,SD,Midwest,West North Central,416.4539905,12678.20561,11410.0307,221960.0125,46
42,Tennessee,TN,Southeast,East South Central,422.0223408,15645.62575,10093.17212,127753.4893,47
43,Texas,TX,Southwest,West South Central,21.98033025,15475.98708,9155.750257,154590.0072,48
44,Utah,UT,West,Mountain South,416.4539905,12692.95287,8246.907091,83423.26622,49
45,Vermont,VT,Northeast,New England,416.4539905,8415.681173,6705.690313,116539.711,50
46,Virginia,VA,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,51
47,Washington,WA,West Coast,Pacific,23.73875667,8565.961689,6453.789683,144894.9232,53
48,West Virginia,WV,South,South Atlantic,434.0382547,14175.7713,9046.675452,173088.6532,54
49,Wisconsin,WI,Midwest,East North Central,416.4539905,9746.464217,8515.075127,186300.5901,55
50,Wyoming,WY,West ,Mountain North,416.4539905,9585.731684,8906.009313,180459.6836,56
